size_bp,mean_runtime_sec
1,48
2,49
3,49
4,49
5,49
10,49
15,49
20,49
25,49
30,49
35,49
40,49
45,49
50,50
55,50
60,50
65,50
70,50
75,50
80,50
85,50
90,50
95,50
100,50
105,51
110,51
115,51
120,51
125,51
130,51
135,52
140,52
145,51
150,51
155,52
160,52
165,52
170,52
175,52
180,53
185,53
190,53
195,52
200,53
210,53
220,53
230,54
240,53
250,54
275,55
300,54
325,55
350,56
375,56
400,57
450,58
500,59
550,60
600,61
650,62
700,64
750,64
800,65
850,67
900,67
950,68
1000,70
1100,72
1200,73
1300,76
1400,77
1500,80
1600,82
1700,85
1800,87
1900,89
2000,90
2100,92
2200,95
2300,98
2400,98
2500,101
2600,102
2700,104
2800,108
2900,108
3000,111
